new_index,question_as_query,topic,question_type,Query_type
388,how does the pill prevent pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
389,how long can it take to get pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
390,how do women get pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
391,how many months does pregnancy last?,pregnancy,How + adj/adv Question,Sampled_Original
392,how soon can a pregnancy test work?,pregnancy,How + adj/adv Question,Sampled_Original
393,how many months pregnant is 25 weeks?,pregnancy,How + adj/adv Question,Sampled_Original
394,how early can you detect pregnancy symptoms?,pregnancy,How + adj/adv Question,Sampled_Original
395,how many ultrasounds during pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
396,how long is a human pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
397,how early can i test for pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
398,how late in pregnancy can you fly?,pregnancy,How + adj/adv Question,Sampled_Original
399,how does stress affect pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
400,how long does it take to know if you pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
401,how to wean baby off formula?,babycare,How to Question,Sampled_Original
402,how to make a baby mobile?,babycare,How to Question,Sampled_Original
403,how to get baby to sleep in crib?,babycare,How to Question,Sampled_Original
404,how to tell if baby is dehydrated?,babycare,How to Question,Sampled_Original
405,how to help baby constipation?,babycare,How to Question,Sampled_Original
406,how to make a simple baby quilt?,babycare,How to Question,Sampled_Original
407,how to treat baby eczema?,babycare,How to Question,Sampled_Original
408,how to look after a newborn baby boy?,babycare,How to Question,Sampled_Original
409,how to teach baby sign language?,babycare,How to Question,Sampled_Original
410,how to wash a baby?,babycare,How to Question,Sampled_Original
411,how to plan for a baby?,babycare,How to Question,Sampled_Original
412,how to encourage baby to walk?,babycare,How to Question,Sampled_Original
413,how to raise a newborn baby?,babycare,How to Question,Sampled_Original
414,how to make baby food?,babycare,How to Question,Sampled_Original
415,how to care infant baby?,babycare,How to Question,Sampled_Original
416,how to get baby to latch?,babycare,How to Question,Sampled_Original
417,how to wean baby off bottle?,babycare,How to Question,Sampled_Original
418,how to take good care of a baby?,babycare,How to Question,Sampled_Original
419,how to help a baby crawl?,babycare,How to Question,Sampled_Original
420,how to tell if baby is breech?,babycare,How to Question,Sampled_Original
421,how to nurse a baby?,babycare,How to Question,Sampled_Original
422,how to bottle feed a baby?,babycare,How to Question,Sampled_Original
423,how to make baby move in womb?,babycare,How to Question,Sampled_Original
424,how to get baby to drop?,babycare,How to Question,Sampled_Original
425,how to encourage baby to crawl?,babycare,How to Question,Sampled_Original
426,how to care for a newborn baby girl?,babycare,How to Question,Sampled_Original
427,how to look after a newborn baby girl?,babycare,How to Question,Sampled_Original
428,how to take care of a newborn baby at home?,babycare,How to Question,Sampled_Original
429,how to make a baby go to sleep?,babycare,How to Question,Sampled_Original
430,how to take care of infant baby?,babycare,How to Question,Sampled_Original
431,how to install baby car seat?,babycare,How to Question,Sampled_Original
432,how to prepare baby formula?,babycare,How to Question,Sampled_Original
433,how to save for a baby?,babycare,How to Question,Sampled_Original
434,how to take a baby's temperature?,babycare,How to Question,Sampled_Original
435,how to babysit?,babycare,How to Question,Sampled_Original
436,how to stop baby hiccups?,babycare,How to Question,Sampled_Original
437,how to get baby to move?,babycare,How to Question,Sampled_Original
438,how to help a teething baby?,babycare,How to Question,Sampled_Original
439,how to get a breastfed baby to take a bottle?,babycare,How to Question,Sampled_Original
440,how to make a baby diaper cake?,babycare,How to Question,Sampled_Original
441,how to treat baby acne?,babycare,How to Question,Sampled_Original
442,how to get rid of hiccups in babies?,babycare,How to Question,Sampled_Original
443,how to increase baby weight?,babycare,How to Question,Sampled_Original
444,how to clear baby acne?,babycare,How to Question,Sampled_Original
445,how to take care of small baby?,babycare,How to Question,Sampled_Original
446,how to help a constipated baby?,babycare,How to Question,Sampled_Original
447,how to get a baby?,babycare,How to Question,Sampled_Original
448,how to take good care of a newborn baby?,babycare,How to Question,Sampled_Original
449,how to teach a baby to talk?,babycare,How to Question,Sampled_Original
450,how to treat colic in babies?,babycare,How to Question,Sampled_Original
451,how to introduce solids to baby?,babycare,How to Question,Sampled_Original
452,how to get baby to sleep alone?,babycare,How to Question,Sampled_Original
453,how to prepare for a baby?,babycare,How to Question,Sampled_Original
454,how to tell if baby is teething?,babycare,How to Question,Sampled_Original
455,how to get stains out of baby clothes?,babycare,How to Question,Sampled_Original
456,how to make sweet potato baby food?,babycare,How to Question,Sampled_Original
457,how to get baby to crawl?,babycare,How to Question,Sampled_Original
458,how to put a baby to sleep?,babycare,How to Question,Sampled_Original
459,how to make a baby sleep?,babycare,How to Question,Sampled_Original
460,how to mix baby formula?,babycare,How to Question,Sampled_Original
461,how to look after a baby girl?,babycare,How to Question,Sampled_Original
462,how to breastfeed a baby?,babycare,How to Question,Sampled_Original
463,how to take care of a baby boy?,babycare,How to Question,Sampled_Original
464,how to produce a baby?,babycare,How to Question,Sampled_Original
465,how to look after a baby?,babycare,How to Question,Sampled_Original
466,how to have a healthy baby?,babycare,How to Question,Sampled_Original
467,how to get twins baby?,babycare,How to Question,Sampled_Original
468,how to take a newborn baby?,babycare,How to Question,Sampled_Original
469,how to burp a newborn baby?,babycare,How to Question,Sampled_Original
470,how to help baby roll over?,babycare,How to Question,Sampled_Original
471,how to make baby food recipes?,babycare,How to Question,Sampled_Original
472,how to prevent ear infections in babies?,babycare,How to Question,Sampled_Original
473,how to treat newborn baby?,babycare,How to Question,Sampled_Original
474,how to transition baby to crib?,babycare,How to Question,Sampled_Original
475,how to calm a fussy baby?,babycare,How to Question,Sampled_Original
476,how to care newly born baby?,babycare,How to Question,Sampled_Original
477,how to take care of a baby for dummies?,babycare,How to Question,Sampled_Original
478,how to birth a new baby?,babycare,How to Question,Sampled_Original
479,how to deliver a baby at home?,babycare,How to Question,Sampled_Original
480,how to help a choking baby?,babycare,How to Question,Sampled_Original
481,how to make baby move in belly?,babycare,How to Question,Sampled_Original
482,how to teach baby to crawl?,babycare,How to Question,Sampled_Original
483,how to bring up a newborn baby?,babycare,How to Question,Sampled_Original
484,how to take a baby?,babycare,How to Question,Sampled_Original
485,how to treat a new born baby?,babycare,How to Question,Sampled_Original
486,how to tell if baby has dropped?,babycare,How to Question,Sampled_Original
487,how to look after a new born baby?,babycare,How to Question,Sampled_Original
488,how to introduce baby food?,babycare,How to Question,Sampled_Original
489,how to take care a newborn baby girl?,babycare,How to Question,Sampled_Original
490,how to make a baby blanket?,babycare,How to Question,Sampled_Original
491,how to born baby?,babycare,How to Question,Sampled_Original
492,how to nurse a newborn baby?,babycare,How to Question,Sampled_Original
493,how to teach baby to walk?,babycare,How to Question,Sampled_Original
494,how to start feeding baby solids?,babycare,How to Question,Sampled_Original
495,how to help baby acne?,babycare,How to Question,Sampled_Original
496,how to soothe a teething baby?,babycare,How to Question,Sampled_Original
497,how to know if baby has ear infection?,babycare,How to Question,Sampled_Original
498,how to save a choking baby?,babycare,How to Question,Sampled_Original
499,how to tell if baby is head down?,babycare,How to Question,Sampled_Original
500,how to travel with a baby?,babycare,How to Question,Sampled_Original
501,how to count pregnancy weeks?,pregnancy,How to Question,Sampled_Original
502,how to get pregnant with twins?,pregnancy,How to Question,Sampled_Original
503,how to get pregnant faster naturally?,pregnancy,How to Question,Sampled_Original
504,how to prepare your body for pregnancy?,pregnancy,How to Question,Sampled_Original
505,how to hide pregnancy?,pregnancy,How to Question,Sampled_Original
506,how to relieve back pain during pregnancy?,pregnancy,How to Question,Sampled_Original
507,how to induce lactation without pregnancy?,pregnancy,How to Question,Sampled_Original
508,how to write pregnancy gravida history?,pregnancy,How to Question,Sampled_Original
509,how to use pregnancy test kit?,pregnancy,How to Question,Sampled_Original
510,how to avoid pregnancy naturally?,pregnancy,How to Question,Sampled_Original
511,how to fall pregnant?,pregnancy,How to Question,Sampled_Original
512,how to stop pregnancy nausea?,pregnancy,How to Question,Sampled_Original
513,how to get rid of a uti while pregnant?,pregnancy,How to Question,Sampled_Original
514,how to safely lose weight while pregnant?,pregnancy,How to Question,Sampled_Original
515,how to detect pregnancy?,pregnancy,How to Question,Sampled_Original
516,how to prevent gestational diabetes pregnancy?,pregnancy,How to Question,Sampled_Original
517,how to check pregnancy?,pregnancy,How to Question,Sampled_Original
518,how to check pregnancy at home?,pregnancy,How to Question,Sampled_Original
519,how to terminate early pregnancy?,pregnancy,How to Question,Sampled_Original
520,how to get rid of heartburn when pregnant?,pregnancy,How to Question,Sampled_Original
521,how to prevent leg cramps during pregnancy?,pregnancy,How to Question,Sampled_Original
522,how to abort pregnancy?,pregnancy,How to Question,Sampled_Original
523,how to end a pregnancy?,pregnancy,How to Question,Sampled_Original
524,how to get a positive pregnancy test?,pregnancy,How to Question,Sampled_Original
525,how to make a homemade pregnancy test?,pregnancy,How to Question,Sampled_Original
526,how to check pregnancy test?,pregnancy,How to Question,Sampled_Original
527,how to do a pregnancy test?,pregnancy,How to Question,Sampled_Original
528,how to get rid of early pregnancy?,pregnancy,How to Question,Sampled_Original
529,how to tell if someone is pregnant?,pregnancy,How to Question,Sampled_Original
530,how to reduce pregnancy swelling?,pregnancy,How to Question,Sampled_Original
531,how to prepare for glucose test pregnancy?,pregnancy,How to Question,Sampled_Original
532,how to lower blood pressure during pregnancy?,pregnancy,How to Question,Sampled_Original
533,how to confirm pregnancy?,pregnancy,How to Question,Sampled_Original
534,how to terminate a pregnancy?,pregnancy,How to Question,Sampled_Original
535,how to determine how many weeks pregnant?,pregnancy,How to Question,Sampled_Original
536,how to get pregnant with irregular periods?,pregnancy,How to Question,Sampled_Original
537,how to prevent pregnancy?,pregnancy,How to Question,Sampled_Original
538,how to prevent teen pregnancy?,pregnancy,How to Question,Sampled_Original
539,how to relieve heartburn during pregnancy?,pregnancy,How to Question,Sampled_Original
540,how to increase hcg levels in early pregnancy?,pregnancy,How to Question,Sampled_Original
541,how to calculate when you got pregnant?,pregnancy,How to Question,Sampled_Original
542,how to get energy while pregnant?,pregnancy,How to Question,Sampled_Original
543,how to document pregnancy history?,pregnancy,How to Question,Sampled_Original
544,how to use a pregnancy test?,pregnancy,How to Question,Sampled_Original
545,how to fall pregnant quickly?,pregnancy,How to Question,Sampled_Original
546,how to relieve constipation during pregnancy?,pregnancy,How to Question,Sampled_Original
547,how to avoid stretch marks during pregnancy?,pregnancy,How to Question,Sampled_Original
548,how to maintain weight during pregnancy?,pregnancy,How to Question,Sampled_Original
549,how to make a woman pregnant?,pregnancy,How to Question,Sampled_Original
550,how to get pregnant wikihow?,pregnancy,How to Question,Sampled_Original
551,how to get pregnant faster?,pregnancy,How to Question,Sampled_Original
552,how to confirm pregnancy at home?,pregnancy,How to Question,Sampled_Original
553,how to make a pregnancy test?,pregnancy,How to Question,Sampled_Original
554,how to get pregnancy?,pregnancy,How to Question,Sampled_Original
555,how to terminate pregnancy naturally?,pregnancy,How to Question,Sampled_Original
556,how to calculate how far along pregnant?,pregnancy,How to Question,Sampled_Original
557,how to treat preeclampsia in pregnancy?,pregnancy,How to Question,Sampled_Original
558,how to get pregnant with twins naturally?,pregnancy,How to Question,Sampled_Original
559,how to relieve nausea during pregnancy?,pregnancy,How to Question,Sampled_Original
560,how to make a pregnancy test positive?,pregnancy,How to Question,Sampled_Original
561,how to tell if youre pregnant?,pregnancy,How to Question,Sampled_Original
562,how to tell family you're pregnant?,pregnancy,How to Question,Sampled_Original
563,how to calculate pregnancy month?,pregnancy,How to Question,Sampled_Original
564,how to check pregnancy test at home?,pregnancy,How to Question,Sampled_Original
565,how to treat a cold when pregnant?,pregnancy,How to Question,Sampled_Original
566,how to avoid pregnancy?,pregnancy,How to Question,Sampled_Original
567,how to control weight during pregnancy?,pregnancy,How to Question,Sampled_Original
568,how to get pregnant quick?,pregnancy,How to Question,Sampled_Original
569,how to pass a glucose test during pregnancy?,pregnancy,How to Question,Sampled_Original
570,how to sleep during pregnancy?,pregnancy,How to Question,Sampled_Original
571,how to calculate edd in pregnancy?,pregnancy,How to Question,Sampled_Original
572,how to prevent preeclampsia in pregnancy?,pregnancy,How to Question,Sampled_Original
573,how to use clearblue pregnancy test?,pregnancy,How to Question,Sampled_Original
574,how to stay fit during pregnancy?,pregnancy,How to Question,Sampled_Original
575,how to identify pregnancy?,pregnancy,How to Question,Sampled_Original
576,how to get twins pregnancy?,pregnancy,How to Question,Sampled_Original
577,how to prevent stretch marks during pregnancy?,pregnancy,How to Question,Sampled_Original
578,how to get rid of heartburn during pregnancy?,pregnancy,How to Question,Sampled_Original
579,how to prevent swelling during pregnancy?,pregnancy,How to Question,Sampled_Original
580,how to know if you are pregnant without test?,pregnancy,How to Question,Sampled_Original
581,how to use pregnancy kit?,pregnancy,How to Question,Sampled_Original
582,how to prevent nausea during pregnancy?,pregnancy,How to Question,Sampled_Original
583,how to sleep when pregnant?,pregnancy,How to Question,Sampled_Original
584,how to get pregnant with low sperm count?,pregnancy,How to Question,Sampled_Original
585,how to get rid of pregnancy nausea?,pregnancy,How to Question,Sampled_Original
586,how to read a pregnancy test?,pregnancy,How to Question,Sampled_Original
587,how to tell how far along pregnant you are?,pregnancy,How to Question,Sampled_Original
588,how to prepare to get pregnant?,pregnancy,How to Question,Sampled_Original
589,how to treat gestational diabetes pregnancy?,pregnancy,How to Question,Sampled_Original
590,how to know if someone is pregnant?,pregnancy,How to Question,Sampled_Original
591,how to lactate without pregnancy?,pregnancy,How to Question,Sampled_Original
592,how to tell if ur pregnant?,pregnancy,How to Question,Sampled_Original
593,how to get pregnant naturally?,pregnancy,How to Question,Sampled_Original
594,how to fight pregnancy fatigue?,pregnancy,How to Question,Sampled_Original
595,how to abort pregnancy naturally?,pregnancy,How to Question,Sampled_Original
596,how to help morning sickness during pregnancy?,pregnancy,How to Question,Sampled_Original
597,how to determine how far along in pregnancy?,pregnancy,How to Question,Sampled_Original
598,how to diagnose ectopic pregnancy?,pregnancy,How to Question,Sampled_Original
599,how to take clomid for pregnancy?,pregnancy,How to Question,Sampled_Original
600,how to stay healthy during pregnancy?,pregnancy,How to Question,Sampled_Original
601,what is considered a premature baby?,babycare,Wh* Question,Sampled_Original
602,what causes baby acne?,babycare,Wh* Question,Sampled_Original
603,what to add to baby registry?,babycare,Wh* Question,Sampled_Original
604,what is baby powder made of?,babycare,Wh* Question,Sampled_Original
605,what causes stillborn babies at full term?,babycare,Wh* Question,Sampled_Original
606,where do babies come from for kids?,babycare,Wh* Question,Sampled_Original
607,what to write baby shower card?,babycare,Wh* Question,Sampled_Original
608,what does a baby need?,babycare,Wh* Question,Sampled_Original
609,what is an ivf baby?,babycare,Wh* Question,Sampled_Original
610,what causes thrush in babies?,babycare,Wh* Question,Sampled_Original
611,what is baby oil made from?,babycare,Wh* Question,Sampled_Original
612,what does my baby look like?,babycare,Wh* Question,Sampled_Original
613,what do you need for a baby?,babycare,Wh* Question,Sampled_Original
614,what age can a baby fly?,babycare,Wh* Question,Sampled_Original
615,what does a baby look like at 12 weeks?,babycare,Wh* Question,Sampled_Original
616,what babies can eat chart?,babycare,Wh* Question,Sampled_Original
617,what to feed a one year old baby?,babycare,Wh* Question,Sampled_Original
618,what age do babies start eating baby food?,babycare,Wh* Question,Sampled_Original
619,what to write in a new baby card?,babycare,Wh* Question,Sampled_Original
620,what do babysitters do?,babycare,Wh* Question,Sampled_Original
621,where to buy baby stuff?,babycare,Wh* Question,Sampled_Original
622,what age do you lose baby teeth?,babycare,Wh* Question,Sampled_Original
623,what color are babies eyes at birth?,babycare,Wh* Question,Sampled_Original
624,what do baby kicks feel like?,babycare,Wh* Question,Sampled_Original
625,what to say in a new baby card?,babycare,Wh* Question,Sampled_Original
626,what is a colicky baby?,babycare,Wh* Question,Sampled_Original
627,what does it feel like when baby moves?,babycare,Wh* Question,Sampled_Original
628,what to expect the first year baby?,babycare,Wh* Question,Sampled_Original
629,what does baby movement feel like?,babycare,Wh* Question,Sampled_Original
630,what age do babies get measles vaccine?,babycare,Wh* Question,Sampled_Original
631,what to pack in baby hospital bag?,babycare,Wh* Question,Sampled_Original
632,what type of doctor delivers babies?,babycare,Wh* Question,Sampled_Original
633,what percentile is my baby?,babycare,Wh* Question,Sampled_Original
634,what causes sids in babies?,babycare,Wh* Question,Sampled_Original
635,what is a premature baby?,babycare,Wh* Question,Sampled_Original
636,what age do babies eyes change colour?,babycare,Wh* Question,Sampled_Original
637,what to put on a baby registry?,babycare,Wh* Question,Sampled_Original
638,what is a baby shower?,babycare,Wh* Question,Sampled_Original
639,what is the earliest a baby can survive birth?,babycare,Wh* Question,Sampled_Original
640,what week can you hear baby's heartbeat?,babycare,Wh* Question,Sampled_Original
641,what causes colic in babies?,babycare,Wh* Question,Sampled_Original
642,what week can you tell gender of baby?,babycare,Wh* Question,Sampled_Original
643,what is baby oil good for?,babycare,Wh* Question,Sampled_Original
644,what is a stillborn baby?,babycare,Wh* Question,Sampled_Original
645,what do i need for a new baby?,babycare,Wh* Question,Sampled_Original
646,what to give babies for constipation?,babycare,Wh* Question,Sampled_Original
647,what is a rainbow baby?,babycare,Wh* Question,Sampled_Original
648,what to do if a baby is choking?,babycare,Wh* Question,Sampled_Original
649,what causes reflux in babies?,babycare,Wh* Question,Sampled_Original
650,what is baby powder used for?,babycare,Wh* Question,Sampled_Original
651,what to say to someone who has lost a baby?,babycare,Wh* Question,Sampled_Original
652,what is a baby nurse called?,babycare,Wh* Question,Sampled_Original
653,what does a baby look like at 20 weeks?,babycare,Wh* Question,Sampled_Original
654,what color will my baby's eyes be?,babycare,Wh* Question,Sampled_Original
655,what is a boarder baby?,babycare,Wh* Question,Sampled_Original
656,what does it mean when baby drops?,babycare,Wh* Question,Sampled_Original
657,what causes rsv in babies?,babycare,Wh* Question,Sampled_Original
658,what does baby powder do?,babycare,Wh* Question,Sampled_Original
659,what shots do babies get at 2 months?,babycare,Wh* Question,Sampled_Original
660,what color eyes are babies born with?,babycare,Wh* Question,Sampled_Original
661,what age can babies have water?,babycare,Wh* Question,Sampled_Original
662,what causes a stillborn baby?,babycare,Wh* Question,Sampled_Original
663,what do you need to take care of a baby?,babycare,Wh* Question,Sampled_Original
664,what is baby oil?,babycare,Wh* Question,Sampled_Original
665,where to donate baby formula?,babycare,Wh* Question,Sampled_Original
666,what causes ear infections in babies?,babycare,Wh* Question,Sampled_Original
667,where does baby oil come from?,babycare,Wh* Question,Sampled_Original
668,what are designer babies?,babycare,Wh* Question,Sampled_Original
669,what age do kids lose baby teeth?,babycare,Wh* Question,Sampled_Original
670,what to bring to a baby shower?,babycare,Wh* Question,Sampled_Original
671,what should a baby's temperature be?,babycare,Wh* Question,Sampled_Original
672,what is the first sense a baby develops?,babycare,Wh* Question,Sampled_Original
673,what vaccines do babies get?,babycare,Wh* Question,Sampled_Original
674,what age do babies start smiling?,babycare,Wh* Question,Sampled_Original
675,which baby teeth come in first?,babycare,Wh* Question,Sampled_Original
676,what is baby oil used for?,babycare,Wh* Question,Sampled_Original
677,what reflexes are babies born with?,babycare,Wh* Question,Sampled_Original
678,what age can babies swim?,babycare,Wh* Question,Sampled_Original
679,what to feed 10 month old baby?,babycare,Wh* Question,Sampled_Original
680,what is a good age to have a baby?,babycare,Wh* Question,Sampled_Original
681,what age do babies crawl and walk?,babycare,Wh* Question,Sampled_Original
682,what to feed 7 month old baby?,babycare,Wh* Question,Sampled_Original
683,what to give a constipated baby?,babycare,Wh* Question,Sampled_Original
684,what does it mean when a baby is breech?,babycare,Wh* Question,Sampled_Original
685,what is baby acne?,babycare,Wh* Question,Sampled_Original
686,what is a baby shower uk?,babycare,Wh* Question,Sampled_Original
687,what causes seizures in babies?,babycare,Wh* Question,Sampled_Original
688,what can babies eat at 6 months?,babycare,Wh* Question,Sampled_Original
689,what size to make a baby blanket?,babycare,Wh* Question,Sampled_Original
690,what does a baby look like at 9 weeks?,babycare,Wh* Question,Sampled_Original
691,what causes a breech baby?,babycare,Wh* Question,Sampled_Original
692,what does it feel like when baby drops?,babycare,Wh* Question,Sampled_Original
693,what is a stone baby?,babycare,Wh* Question,Sampled_Original
694,where do babies grow?,babycare,Wh* Question,Sampled_Original
695,what age can babies eat baby food?,babycare,Wh* Question,Sampled_Original
696,what to write in a baby shower thank you card?,babycare,Wh* Question,Sampled_Original
697,where do babies come from?,babycare,Wh* Question,Sampled_Original
698,what week are most babies born?,babycare,Wh* Question,Sampled_Original
699,what age to start baby food?,babycare,Wh* Question,Sampled_Original
700,what does a baby look like at 4 weeks?,babycare,Wh* Question,Sampled_Original
701,what is pregnancy brain?,pregnancy,Wh* Question,Sampled_Original
702,what can i take for a headache while pregnant?,pregnancy,Wh* Question,Sampled_Original
703,what does nst stand for in pregnancy?,pregnancy,Wh* Question,Sampled_Original
704,what does gbs positive mean in pregnancy?,pregnancy,Wh* Question,Sampled_Original
705,what can pregnant women take for heartburn?,pregnancy,Wh* Question,Sampled_Original
706,what does protein in urine mean when pregnant?,pregnancy,Wh* Question,Sampled_Original
707,what cold medicine can i take while pregnant?,pregnancy,Wh* Question,Sampled_Original
708,what does an ectopic pregnancy feel like?,pregnancy,Wh* Question,Sampled_Original
709,what can pregnant women take for nausea?,pregnancy,Wh* Question,Sampled_Original
710,what does pregnancy medicaid cover?,pregnancy,Wh* Question,Sampled_Original
711,what causes protein in urine during pregnancy?,pregnancy,Wh* Question,Sampled_Original
712,what to do when you find out your pregnant?,pregnancy,Wh* Question,Sampled_Original
713,what happens if you take birth control while pregnant?,pregnancy,Wh* Question,Sampled_Original
714,what causes autism during pregnancy?,pregnancy,Wh* Question,Sampled_Original
715,what benefits am i entitled to when pregnant?,pregnancy,Wh* Question,Sampled_Original
716,what happens in the first trimester pregnancy?,pregnancy,Wh* Question,Sampled_Original
717,what is teenage pregnancy?,pregnancy,Wh* Question,Sampled_Original
718,which pregnancy test detects the earliest?,pregnancy,Wh* Question,Sampled_Original
719,what to expect pregnancy week by week?,pregnancy,Wh* Question,Sampled_Original
720,what to avoid when pregnant?,pregnancy,Wh* Question,Sampled_Original
721,what nutrients do pregnant women need?,pregnancy,Wh* Question,Sampled_Original
722,what is considered a full term pregnancy?,pregnancy,Wh* Question,Sampled_Original
723,what can pregnant women take for sore throat?,pregnancy,Wh* Question,Sampled_Original
724,what can't you eat when pregnant?,pregnancy,Wh* Question,Sampled_Original
725,what is considered a high risk pregnancy?,pregnancy,Wh* Question,Sampled_Original
726,what decongestant is safe during pregnancy?,pregnancy,Wh* Question,Sampled_Original
727,what causes morning sickness during pregnancy?,pregnancy,Wh* Question,Sampled_Original
728,what happens in each trimester of pregnancy?,pregnancy,Wh* Question,Sampled_Original
729,what causes heartburn during pregnancy?,pregnancy,Wh* Question,Sampled_Original
730,what is a phantom pregnancy?,pregnancy,Wh* Question,Sampled_Original
731,what age is considered geriatric pregnancy?,pregnancy,Wh* Question,Sampled_Original
732,what is pih in pregnancy?,pregnancy,Wh* Question,Sampled_Original
733,what days can you get pregnant?,pregnancy,Wh* Question,Sampled_Original
734,what is surrogacy pregnancy?,pregnancy,Wh* Question,Sampled_Original
735,what can pregnant women take for constipation?,pregnancy,Wh* Question,Sampled_Original
736,what do early pregnancy cramps feel like?,pregnancy,Wh* Question,Sampled_Original
737,what is a sweep in pregnancy?,pregnancy,Wh* Question,Sampled_Original
738,what is an anatomy scan in pregnancy?,pregnancy,Wh* Question,Sampled_Original
739,what color is spotting in early pregnancy?,pregnancy,Wh* Question,Sampled_Original
740,what does parity mean in pregnancy?,pregnancy,Wh* Question,Sampled_Original
741,what does spotting look like in pregnancy?,pregnancy,Wh* Question,Sampled_Original
742,what can i take for constipation pregnant?,pregnancy,Wh* Question,Sampled_Original
743,what to eat before glucose test pregnancy?,pregnancy,Wh* Question,Sampled_Original
744,what is a tubal pregnancy?,pregnancy,Wh* Question,Sampled_Original
745,what does g3p1011 mean in pregnancy?,pregnancy,Wh* Question,Sampled_Original
746,what does a pregnancy test detect?,pregnancy,Wh* Question,Sampled_Original
747,what is early pregnancy?,pregnancy,Wh* Question,Sampled_Original
748,what do pregnancy cramps feel like?,pregnancy,Wh* Question,Sampled_Original
749,what is edc pregnancy?,pregnancy,Wh* Question,Sampled_Original
750,what can i take for nausea during pregnancy?,pregnancy,Wh* Question,Sampled_Original
751,what does para mean in pregnancy?,pregnancy,Wh* Question,Sampled_Original
752,what is considered geriatric pregnancy?,pregnancy,Wh* Question,Sampled_Original
753,what is iui pregnancy?,pregnancy,Wh* Question,Sampled_Original
754,what causes your water to break when pregnant?,pregnancy,Wh* Question,Sampled_Original
755,what causes constipation during pregnancy?,pregnancy,Wh* Question,Sampled_Original
756,what to expect at 6 weeks pregnant?,pregnancy,Wh* Question,Sampled_Original
757,what to eat to get pregnant?,pregnancy,Wh* Question,Sampled_Original
758,what causes nausea during pregnancy?,pregnancy,Wh* Question,Sampled_Original
759,what can pregnant women take for congestion?,pregnancy,Wh* Question,Sampled_Original
760,what week is the third trimester of pregnancy?,pregnancy,Wh* Question,Sampled_Original
761,what happens after ovulation if your pregnant?,pregnancy,Wh* Question,Sampled_Original
762,what can you take for nausea while pregnant?,pregnancy,Wh* Question,Sampled_Original
763,what is placenta previa in pregnancy?,pregnancy,Wh* Question,Sampled_Original
764,what can i take for a cold when pregnant?,pregnancy,Wh* Question,Sampled_Original
765,what does edc stand for in pregnancy?,pregnancy,Wh* Question,Sampled_Original
766,what pregnancy test works the earliest?,pregnancy,Wh* Question,Sampled_Original
767,what can i take for heartburn while pregnant?,pregnancy,Wh* Question,Sampled_Original
768,what to take for heartburn during pregnancy?,pregnancy,Wh* Question,Sampled_Original
769,what side should pregnant women sleep on?,pregnancy,Wh* Question,Sampled_Original
770,what happens in an ectopic pregnancy?,pregnancy,Wh* Question,Sampled_Original
771,what happens at first pregnancy appointment?,pregnancy,Wh* Question,Sampled_Original
772,what is ivf for pregnancy?,pregnancy,Wh* Question,Sampled_Original
773,what does pregnancy spotting look like?,pregnancy,Wh* Question,Sampled_Original
774,what is multiparous pregnancy?,pregnancy,Wh* Question,Sampled_Original
775,what is a molar pregnancy?,pregnancy,Wh* Question,Sampled_Original
776,what to expect at 32 weeks pregnant?,pregnancy,Wh* Question,Sampled_Original
777,what is oligohydramnios in pregnancy?,pregnancy,Wh* Question,Sampled_Original
778,what should pregnant women avoid?,pregnancy,Wh* Question,Sampled_Original
779,what does it feel like to be pregnant?,pregnancy,Wh* Question,Sampled_Original
780,what hcg level indicates pregnancy?,pregnancy,Wh* Question,Sampled_Original
781,what to eat when pregnant first trimester?,pregnancy,Wh* Question,Sampled_Original
782,what is implantation in pregnancy?,pregnancy,Wh* Question,Sampled_Original
783,what do contractions feel like pregnancy?,pregnancy,Wh* Question,Sampled_Original
784,which component of weight gain accounts for the greatest amount of increased weight during pregnancy?,pregnancy,Wh* Question,Sampled_Original
785,what hormone do pregnancy tests detect?,pregnancy,Wh* Question,Sampled_Original
786,what to eat in early pregnancy?,pregnancy,Wh* Question,Sampled_Original
787,what does early pregnancy feel like?,pregnancy,Wh* Question,Sampled_Original
788,what constitutes a high risk pregnancy?,pregnancy,Wh* Question,Sampled_Original
789,which cervical changes are observed during pregnancy? select all that apply.?,pregnancy,Wh* Question,Sampled_Original
790,what can a pregnant woman take for a cold?,pregnancy,Wh* Question,Sampled_Original
791,what happens if you smoke while pregnant?,pregnancy,Wh* Question,Sampled_Original
792,what causes headaches during pregnancy?,pregnancy,Wh* Question,Sampled_Original
793,what causes high blood pressure in pregnancy?,pregnancy,Wh* Question,Sampled_Original
794,what makes a pregnancy high risk?,pregnancy,Wh* Question,Sampled_Original
795,what to take when you want to get pregnant?,pregnancy,Wh* Question,Sampled_Original
796,what is hyperemesis gravidarum in pregnancy?,pregnancy,Wh* Question,Sampled_Original
797,what is pre-eclampsia condition in pregnancy?,pregnancy,Wh* Question,Sampled_Original
