new_index,question,topic,question_type,Whole_answer,highlighted_answer,Answer_type,query_standardized,topic_index,Sentiment_Valence,Sentiment_Label
1082,can pregnant women eat mayonnaise?,pregnancy,Binary Question,"Yes, pregnant women can generally eat mayonnaise as long as it is made with pasteurized eggs . Pasteurized eggs are heated to a temperature that kills harmful bacteria, such as salmonella, which can cause food poisoning in pregnant women.","Yes, pregnant women can generally eat mayonnaise as long as it is made with pasteurized eggs",AIO,can pregnant women eat mayonnaise?,45,neutral,Neutral 
1288,is it unsafe for pregnant women to eat mayonnaise?,pregnancy,Binary Question,"Yes, it is generally considered safe for pregnant women to eat mayonnaise , particularly commercially produced mayonnaise. However, there are some exceptions. Raw or undercooked eggs can carry salmonella, so mayonnaise made with raw or undercooked eggs is not recommended during pregnancy. Here's a more detailed explanation: Pasteurized Eggs:","Yes, it is generally considered safe for pregnant women to eat mayonnaise",AIO,is it unsafe for pregnant women to eat mayonnaise?,45,negative,Neutral 
1186,is it safe for pregnant women to eat mussels?,pregnancy,Binary Question,"Yes, it's generally safe to eat cooked mussels during pregnancy, but avoid raw or undercooked shellfish . Make sure they are thoroughly cooked until the shells open, and discard any that remain closed after cooking. Here's a more detailed explanation: Safe to Eat: Cooked mussels are a good source of nutrients like iodine , selenium , and vitamin D , which are important for fetal development and overall health.","Yes, it's generally safe to eat cooked mussels during pregnancy, but avoid raw or undercooked shellfish",AIO,is it safe for pregnant women to eat mussels?,46,positive,Neutral 
1083,can pregnant women eat mussels?,pregnancy,Binary Question,"Yes, pregnant women can eat mussels in moderation, as long as they are properly cooked . Mussels are a good source of nutrients for pregnant women, including iron, zinc, and omega-3 fatty acids. However, raw or undercooked mussels can contain harmful bacteria and parasites. To ensure safety, follow these guidelines:","Yes, pregnant women can eat mussels in moderation, as long as they are properly cooked",AIO,can pregnant women eat mussels?,46,neutral,Neutral 
1289,is it unsafe for pregnant women to eat mussels?,pregnancy,Binary Question,"Yes, it is generally considered safe for pregnant women to eat cooked mussels, but raw or undercooked mussels should be avoided . Mussels, like other shellfish, can carry bacteria that can be harmful to a developing fetus, especially if raw or undercooked. Here's why it's important to cook mussels thoroughly: Risk of bacteria and parasites: Raw or undercooked mussels can contain harmful bacteria and parasites that can cause food poisoning, which can be dangerous during pregnancy.",raw or undercooked mussels should be avoided,AIO,is it unsafe for pregnant women to eat mussels?,46,negative,Neutral 
1187,is it safe for pregnant women to eat prawns?,pregnancy,Binary Question,"Yes, prawns (or shrimp) are generally safe to eat during pregnancy, especially when thoroughly cooked , as they are a good source of protein and omega-3 fatty acids, which are beneficial for fetal development. However, it's crucial to avoid raw or undercooked seafood to minimize the risk of foodborne illnesses. Here's a more detailed breakdown: Safe Consumption:","Yes, prawns (or shrimp) are generally safe to eat during pregnancy, especially when thoroughly cooked",AIO,is it safe for pregnant women to eat prawns?,47,positive,Neutral 
1084,can pregnant women eat prawns?,pregnancy,Binary Question,"Yes, pregnant women can generally eat prawns as long as they are cooked thoroughly . Benefits of Eating Prawns During Pregnancy: Prawns are a good source of omega-3 fatty acids, which are essential for fetal brain and eye development. They also provide protein, iron, and iodine, which are important nutrients for pregnant women.","Yes, pregnant women can generally eat prawns as long as they are cooked thoroughly",AIO,can pregnant women eat prawns?,47,neutral,Postive
1290,is it unsafe for pregnant women to eat prawns?,pregnancy,Binary Question,"Yes, it is generally safe for pregnant women to eat prawns as long as they are thoroughly cooked . Raw or undercooked prawns should be avoided. Healthline suggests that cooking seafood to an internal temperature of 145°F (62.8°C) is safe. Here's a more detailed explanation: Thoroughly Cooked: Prawns should be cooked until they turn pink and are opaque, indicating they are fully cooked.","Yes, it is generally safe for pregnant women to eat prawns as long as they are thoroughly cooked",AIO,is it unsafe for pregnant women to eat prawns?,47,negative,Neutral 
1188,is it safe for pregnant women to eat seafood?,pregnancy,Binary Question,"Yes, it is generally safe for pregnant women to eat seafood, but with some precautions . Benefits of Eating Seafood During Pregnancy: Omega-3 fatty acids: Essential for fetal brain and eye development. Protein: Crucial for fetal growth and development. Iron and zinc: Important for preventing anemia in pregnant women.","Yes, it is generally safe for pregnant women to eat seafood, but with some precautions",AIO,is it safe for pregnant women to eat seafood?,48,positive,Postive
1085,can pregnant women eat seafood?,pregnancy,Binary Question,"Yes, pregnant women can generally eat seafood in moderation . Benefits of Seafood during Pregnancy: Omega-3 fatty acids: Essential for fetal brain and eye development. Protein: Crucial for fetal growth and tissue formation. Iron: Prevents iron deficiency anemia. Iodine: Essential for thyroid hormone production and fetal brain development.","Yes, pregnant women can generally eat seafood in moderation",AIO,can pregnant women eat seafood?,48,neutral,Postive
1291,is it unsafe for pregnant women to eat seafood?,pregnancy,Binary Question,"Yes, it is generally safe for pregnant women to eat seafood, but certain types should be avoided or consumed in moderation due to mercury content or potential for foodborne illnesses . Pregnant women should avoid raw seafood, fish high in mercury, and be mindful of local fish advisories. Seafood to avoid or limit during pregnancy: High-mercury fish: Shark, swordfish, king mackerel, tilefish, bigeye tuna.","Yes, it is generally safe for pregnant women to eat seafood, but certain types should be avoided or consumed in moderation due to mercury content or potential for foodborne illnesses",AIO,is it unsafe for pregnant women to eat seafood?,48,negative,Neutral 
1189,is it safe for pregnant women to eat steak?,pregnancy,Binary Question,"Yes, it's generally safe for pregnant women to eat steak, provided it's cooked thoroughly until steaming hot with no trace of pink or blood . Here's a more detailed explanation: Why thorough cooking is important: Raw or undercooked meat can harbor bacteria like E. coli , salmonella , and the toxoplasma parasite , which can cause food poisoning or toxoplasmosis , potentially harming the pregnant woman and her baby.","Yes, it's generally safe for pregnant women to eat steak, provided it's cooked thoroughly until steaming hot with no trace of pink or blood",AIO,is it safe for pregnant women to eat steak?,49,positive,Neutral 
1086,can pregnant women eat steak?,pregnancy,Binary Question,"Yes, pregnant women can eat steak as long as it is cooked thoroughly to an internal temperature of at least 145°F (63°C) . Undercooked steak can contain bacteria, such as toxoplasmosis, which can be harmful to both the mother and the developing baby. Therefore, it is essential to ensure that all steak is cooked to a safe temperature. Additionally, pregnant women should avoid eating steak that is:","Yes, pregnant women can eat steak as long as it is cooked thoroughly to an internal temperature of at least 145°F (63°C)",AIO,can pregnant women eat steak?,49,neutral,Neutral 
1292,is it unsafe for pregnant women to eat steak?,pregnancy,Binary Question,"Yes, it is generally unsafe for pregnant women to eat raw or undercooked steak . The primary concern is the risk of foodborne illnesses, particularly toxoplasmosis, which can be harmful to the developing fetus. Why it's unsafe: Toxoplasmosis: Raw or undercooked meat can harbor the parasite Toxoplasma gondii, which can cause toxoplasmosis, a serious infection that can lead to miscarriage, stillbirth, or birth defects.","Yes, it is generally unsafe for pregnant women to eat raw or undercooked steak",AIO,is it unsafe for pregnant women to eat steak?,49,negative,Neutral 
1190,is it safe for pregnant women to eat yogurt?,pregnancy,Binary Question,"Yes, it is generally safe for pregnant women to eat yogurt, particularly commercially produced and pasteurized varieties . Yogurt can be a good source of calcium, protein, and probiotics, which are beneficial for both the pregnant woman and the developing fetus. However, it's crucial to choose pasteurized yogurt and avoid unpasteurized or homemade yogurt unless made with pasteurized milk. Here's a more detailed explanation:","Yes, it is generally safe for pregnant women to eat yogurt, particularly commercially produced and pasteurized varieties",AIO,is it safe for pregnant women to eat yogurt?,50,positive,Neutral 
1087,can pregnant women eat yogurt?,pregnancy,Binary Question,"Yes, pregnant women can safely eat yogurt . Yogurt is a good source of nutrients that are essential for pregnant women, including: Calcium: Helps build strong bones and teeth in the baby. Protein: Provides energy and supports fetal growth. Probiotics: Beneficial bacteria that promote gut health.","Yes, pregnant women can safely eat yogurt",AIO,can pregnant women eat yogurt?,50,neutral,Postive
1293,is it unsafe for pregnant women to eat yogurt?,pregnancy,Binary Question,"Yes, yogurt is generally safe for pregnant women to eat , especially pasteurized yogurt, which is most commercial yogurt. It's a good source of calcium, protein, and probiotics, all beneficial during pregnancy. However, pregnant women should avoid unpasteurized yogurt and dairy products made from unpasteurized milk. Here's a more detailed breakdown: Pasteurized yogurt is safe:","Yes, yogurt is generally safe for pregnant women to eat",AIO,is it unsafe for pregnant women to eat yogurt?,50,negative,Neutral 
1192,is it safe to do keto while pregnant?,pregnancy,Binary Question,"The keto diet is generally not considered safe for pregnant women because it can lead to nutrient deficiencies and potential harm to the developing baby, especially regarding folic acid and glucose, which is a primary energy source for fetal growth. Here's a more detailed explanation: Nutrient Deficiencies:",The keto diet is generally not considered safe for pregnant women,AIO,is it safe to do keto while pregnant?,52,positive,Negative
1089,can you do keto while pregnant?,pregnancy,Binary Question,"No, it's generally not recommended to follow a ketogenic (keto) diet during pregnancy due to potential risks to both the mother and the developing baby, including nutrient deficiencies and potential birth defects. Here's a more detailed explanation: Potential Risks: Nutrient Deficiencies:","No, it's generally not recommended to follow a ketogenic (keto) diet during pregnancy",AIO,can you do keto while pregnant?,52,neutral,Negative
1295,is it unsafe to do keto while pregnant?,pregnancy,Binary Question,"Yes, following a ketogenic diet (keto diet) during pregnancy is generally considered unsafe due to potential risks to the developing baby and the mother . While the keto diet focuses on burning fat for energy instead of carbohydrates, this can lead to a deficiency in essential nutrients needed for fetal development, such as folic acid and other vitamins and minerals. Additionally, the high-fat content of the keto diet may also have negative effects on both mother and baby.","Yes, following a ketogenic diet (keto diet) during pregnancy is generally considered unsafe due to potential risks to the developing baby and the mother",AIO,is it unsafe to do keto while pregnant?,52,negative,Negative
1195,is it safe for you to drink soda while pregnant?,pregnancy,Binary Question,"While drinking soda during pregnancy isn't strictly forbidden, it's generally recommended to limit or avoid it due to its high sugar and caffeine content . Excessive sugar intake can lead to health complications for both the mother and the developing baby, and caffeine can cross the placenta and potentially affect the baby's development. Elaboration: Sugar Content:",it's generally recommended to limit or avoid it due to its high sugar and caffeine content,AIO,is it safe for you to drink soda while pregnant?,55,positive,Negative
1092,can you drink soda while pregnant?,pregnancy,Binary Question,"It is generally not recommended to consume soda during pregnancy . Reasons to Avoid Soda During Pregnancy: High sugar content: Soda contains high levels of sugar, which can contribute to weight gain, gestational diabetes, and other health problems. Caffeine:",It is generally not recommended to consume soda during pregnancy,AIO,can you drink soda while pregnant?,55,neutral,Negative
1298,is it unsafe for you to drink soda while pregnant?,pregnancy,Binary Question,"While occasional soda consumption during pregnancy is generally considered safe , it's best to limit or avoid it due to the potential risks of excessive sugar, caffeine, and artificial sweeteners. Excessive sugar intake has been linked to increased risks of childhood asthma and overweight. Caffeine, which is present in many sodas, can cross the placenta and may potentially impact fetal development if consumed in large amounts. Here's a more detailed breakdown:",occasional soda consumption during pregnancy is generally considered safe,AIO,is it unsafe for you to drink soda while pregnant?,55,negative,Negative
1196,is it safe for you to eat bacon when pregnant?,pregnancy,Binary Question,"Yes, it's generally safe to eat bacon when pregnant , but it's crucial to ensure it's fully cooked. Undercooked or raw bacon can harbor bacteria like Listeria and Toxoplasma gondii, which can cause serious illnesses during pregnancy. Fully cooking the bacon until it's steaming hot or reaches 165°F eliminates these risks. Here's a more detailed explanation: Listeria:","Yes, it's generally safe to eat bacon when pregnant",AIO,is it safe for you to eat bacon when pregnant?,56,positive,Neutral 
1093,can you eat bacon when pregnant?,pregnancy,Binary Question,"Yes, you can eat bacon during pregnancy , but it's crucial to ensure it's thoroughly cooked to avoid the risk of foodborne illnesses like listeria and toxoplasmosis, which can be harmful to both you and your baby. Here's a more detailed explanation: Why thorough cooking matters: During pregnancy, your immune system is weakened, making you more susceptible to foodborne illnesses.","Yes, you can eat bacon during pregnancy",AIO,can you eat bacon when pregnant?,56,neutral,Neutral 
1299,is it unsafe for you to eat bacon when pregnant?,pregnancy,Binary Question,"Yes, bacon is generally considered safe to eat during pregnancy , but with a few important caveats. The key is to ensure the bacon is fully cooked, meaning it should be steaming hot and no longer pink. Undercooked or raw bacon can carry the risk of Listeria and Toxoplasma gondii infections, which can be harmful during pregnancy. Here's a more detailed look: Cooking is crucial:","Yes, bacon is generally considered safe to eat during pregnancy",AIO,is it unsafe for you to eat bacon when pregnant?,56,negative,Neutral 
1197,is it safe for you to eat blue cheese while pregnant?,pregnancy,Binary Question,"It is generally not safe to eat blue cheese while pregnant, unless it has been cooked until steaming hot . Most blue cheeses are made with unpasteurized milk, which can carry the listeria bacteria, posing a risk to both the pregnant woman and her baby. Here's why and what to do:","It is generally not safe to eat blue cheese while pregnant, unless it has been cooked until steaming hot",AIO,is it safe for you to eat blue cheese while pregnant?,57,positive,Negative
1094,can you eat blue cheese while pregnant?,pregnancy,Binary Question,"No, it is generally not recommended to consume blue cheese during pregnancy . Blue cheese is a soft, mold-ripened cheese that is often made from unpasteurized milk. Unpasteurized milk can contain bacteria, including Listeria, which can be harmful to pregnant women and their unborn babies.","No, it is generally not recommended to consume blue cheese during pregnancy",AIO,can you eat blue cheese while pregnant?,57,neutral,Negative
1300,is it unsafe for you to eat blue cheese while pregnant?,pregnancy,Binary Question,"Yes, it's generally unsafe to eat blue cheese while pregnant, especially if it's made with unpasteurized milk . This is because blue cheese, like other soft cheeses, can harbor Listeria bacteria , which can cause serious infections like listeriosis in pregnant women and potentially harm the fetus. Here's why: Soft Cheeses and Listeria:","Yes, it's generally unsafe to eat blue cheese while pregnant, especially if it's made with unpasteurized milk",AIO,is it unsafe for you to eat blue cheese while pregnant?,57,negative,Negative
1198,is it safe for you to eat brie when pregnant?,pregnancy,Binary Question,"No, it's generally not safe to eat Brie while pregnant . Brie, being a soft cheese with a white rind, is more prone to harboring harmful bacteria like Listeria , which can cause listeriosis. Listeriosis can be dangerous for pregnant women and their babies, potentially leading to complications like miscarriage, premature birth, or stillbirth. Elaboration: Brie and Listeria:","No, it's generally not safe to eat Brie while pregnant",AIO,is it safe for you to eat brie when pregnant?,58,positive,Negative
1095,can you eat brie when pregnant?,pregnancy,Binary Question,"No, it is generally not recommended to eat brie cheese during pregnancy . Brie is a soft, mold-ripened cheese that is often made from unpasteurized milk.","No, it is generally not recommended to eat brie cheese during pregnancy",AIO,can you eat brie when pregnant?,58,neutral,Negative
1301,is it unsafe for you to eat brie when pregnant?,pregnancy,Binary Question,"Yes, it is generally unsafe to eat unpasteurized brie cheese while pregnant . Brie, like other soft cheeses, is made with unpasteurized milk, which can harbor dangerous bacteria like listeria, increasing the risk of listeriosis. Listeriosis can lead to serious complications for the mother and the unborn baby, including miscarriage, premature delivery, and stillbirth. Here's why brie is considered unsafe: Listeria risk:","Yes, it is generally unsafe to eat unpasteurized brie cheese while pregnant",AIO,is it unsafe for you to eat brie when pregnant?,58,negative,Negative
1199,is it safe for you to eat clams when pregnant?,pregnancy,Binary Question,"Yes, it is generally safe to eat clams when pregnant, as long as they are fully cooked . Raw or undercooked shellfish can pose a risk of food poisoning during pregnancy. Additionally, while clams are relatively low in mercury, it's still a good idea to limit seafood consumption, including clams, to 2-3 servings per week, and to choose a variety of seafood. Here's a more detailed explanation: Raw or undercooked clams are risky:","Yes, it is generally safe to eat clams when pregnant, as long as they are fully cooked",AIO,is it safe for you to eat clams when pregnant?,59,positive,Neutral 
1096,can you eat clams when pregnant?,pregnancy,Binary Question,"Yes, pregnant women can eat clams in moderation, as long as they are cooked properly . Here are some important considerations: Cook thoroughly: Clams should be cooked until they open fully. This ensures that any harmful bacteria are killed.","Yes, pregnant women can eat clams in moderation, as long as they are cooked properly",AIO,can you eat clams when pregnant?,59,neutral,Neutral 
1302,is it unsafe for you to eat clams when pregnant?,pregnancy,Binary Question,"Yes, it is generally considered safe for pregnant women to eat clams, as long as they are thoroughly cooked until their shells open . Clams are low in mercury and can be a good source of protein and other nutrients. However, raw or undercooked shellfish, including clams, should be avoided due to the risk of foodborne illnesses. Here's why it's safe when cooked and why it's important to avoid raw/undercooked:","Yes, it is generally considered safe for pregnant women to eat clams, as long as they are thoroughly cooked until their shells open",AIO,is it unsafe for you to eat clams when pregnant?,59,negative,Neutral 
1200,is it safe for you to eat cooked sushi while pregnant?,pregnancy,Binary Question,"Yes, it is generally safe to eat cooked sushi during pregnancy . Sushi that contains cooked fish or seafood, like shrimp tempura rolls or eel rolls, is a safe and delicious option. However, it's crucial to avoid all raw or undercooked fish, including sushi and sashimi, as they pose a higher risk of containing parasites or bacteria. Here's why cooked sushi is a good choice: Reduced risk of foodborne illnesses:","Yes, it is generally safe to eat cooked sushi during pregnancy",AIO,is it safe for you to eat cooked sushi while pregnant?,60,positive,Neutral 
1097,can you eat cooked sushi while pregnant?,pregnancy,Binary Question,"Yes, you can eat sushi with cooked fish and other cooked ingredients during pregnancy , but you should avoid raw or undercooked fish. Here's a more detailed explanation: Safe Sushi Options: Opt for sushi rolls with cooked fish like California rolls (often made with imitation crab, which is cooked), ebi rolls (shrimp), unagi rolls (cooked eel), or sushi with cooked seafood like spicy crab roll or spicy shrimp roll .","Yes, you can eat sushi with cooked fish and other cooked ingredients during pregnancy",AIO,can you eat cooked sushi while pregnant?,60,neutral,Neutral 
1303,is it unsafe for you to eat cooked sushi while pregnant?,pregnancy,Binary Question,"Yes, cooked sushi is generally safe to eat during pregnancy . However, it's important to ensure that sushi with cooked fish is prepared on separate surfaces and with different utensils to avoid cross-contamination from raw fish. Additionally, pregnant women should avoid fish high in mercury, such as swordfish and bigeye tuna, even when cooked. Elaboration: Safety of Cooked Sushi:","Yes, cooked sushi is generally safe to eat during pregnancy",AIO,is it unsafe for you to eat cooked sushi while pregnant?,60,negative,Neutral 
1201,is it safe for you to eat crab legs when pregnant?,pregnancy,Binary Question,"Yes, it is generally safe for you to eat crab legs while pregnant, as long as they are fully cooked . However, it's important to avoid raw or undercooked seafood due to the risk of foodborne illness. Additionally, while crab is generally low in mercury, it's still a good idea to eat it in moderation and be mindful of local seafood advisories if you are consuming local crab. Here's a more detailed explanation:","Yes, it is generally safe for you to eat crab legs while pregnant, as long as they are fully cooked",AIO,is it safe for you to eat crab legs when pregnant?,61,positive,Neutral 
1098,can you eat crab legs when pregnant?,pregnancy,Binary Question,"Yes, pregnant women can generally eat crab legs, as long as they are cooked thoroughly . Here are some considerations: Cooked crab legs: Cooked crab legs are safe to eat during pregnancy. Ensure they are cooked to an internal temperature of 145°F (63°C).","Yes, pregnant women can generally eat crab legs, as long as they are cooked thoroughly",AIO,can you eat crab legs when pregnant?,61,neutral,Postive
1304,is it unsafe for you to eat crab legs when pregnant?,pregnancy,Binary Question,"Yes, it is generally considered safe for pregnant women to eat cooked crab legs , but there are some important considerations. Pregnant women should avoid raw or undercooked seafood, including crab. Additionally, they should be mindful of mercury levels in seafood and limit their intake of high-mercury fish like albacore tuna. Here's a more detailed explanation: Avoid Raw or Undercooked Crab:","Yes, it is generally considered safe for pregnant women to eat cooked crab legs",AIO,is it unsafe for you to eat crab legs when pregnant?,61,negative,Neutral 
1202,is it safe for you to eat crab while pregnant?,pregnancy,Binary Question,"Yes, it is generally safe to eat cooked crab during pregnancy , says the Mayo Clinic . However, it's important to avoid raw or undercooked crab, as well as seafood high in mercury . Eating a variety of seafood can provide beneficial nutrients like omega-3 fatty acids, but it's crucial to be mindful of potential mercury exposure and the risk of foodborne illness. Here's a more detailed breakdown: Cooked crab is generally safe:","Yes, it is generally safe to eat cooked crab during pregnancy",AIO,is it safe for you to eat crab while pregnant?,62,positive,Neutral 
1099,can you eat crab while pregnant?,pregnancy,Binary Question,"Yes, you can eat crab while pregnant, as long as it's thoroughly cooked . However, it's important to avoid raw or undercooked crab to minimize the risk of foodborne illnesses, which can be harmful during pregnancy. Here's a more detailed breakdown: Safe Cooking: Ensure crab is cooked to an internal temperature of 145°F (63°C) to kill any harmful bacteria or parasites.","Yes, you can eat crab while pregnant, as long as it's thoroughly cooked",AIO,can you eat crab while pregnant?,62,neutral,Neutral 
1305,is it unsafe for you to eat crab while pregnant?,pregnancy,Binary Question,"Yes, crab is generally considered safe to eat during pregnancy , but it's crucial to ensure it's cooked properly and avoid raw or undercooked crab . Mercury levels in crab are relatively low, making it a good source of protein and omega-3 fatty acids. However, pregnant women should still be mindful of local fish advisories if they consume crab from local waters. Here's a more detailed look: Cooked crab is safe:","Yes, crab is generally considered safe to eat during pregnancy",AIO,is it unsafe for you to eat crab while pregnant?,62,negative,Neutral 
1203,is it safe for you to eat crawfish while pregnant?,pregnancy,Binary Question,"Yes, it is generally safe for pregnant women to eat crawfish as long as it's fully cooked . Crawfish are low in mercury, and when cooked properly, they pose a minimal risk to both the mother and the developing baby. Key points about eating crawfish during pregnancy: Cook thoroughly: Ensure crawfish are cooked to an internal temperature of 145°F (63°C).","Yes, it is generally safe for pregnant women to eat crawfish as long as it's fully cooked",AIO,is it safe for you to eat crawfish while pregnant?,63,positive,Postive
1100,can you eat crawfish while pregnant?,pregnancy,Binary Question,"Yes, pregnant women can eat crawfish, as long as they are properly cooked . Crawfish are a low-mercury seafood, making them a safe option for pregnant women. However, it is important to ensure that they are thoroughly cooked to kill any potential bacteria. Here are some additional tips for safely eating crawfish while pregnant:","Yes, pregnant women can eat crawfish, as long as they are properly cooked",AIO,can you eat crawfish while pregnant?,63,neutral,Neutral 
1306,is it unsafe for you to eat crawfish while pregnant?,pregnancy,Binary Question,"Yes, it is generally considered safe for pregnant women to eat crawfish, provided it's fully cooked . Crawfish are low in mercury, and when properly prepared, they are a nutritious option. Here's why: Low Mercury: Crawfish are low in mercury, with an average of 0.033 parts per million (ppm). This is a low level compared to some other types of seafood.","Yes, it is generally considered safe for pregnant women to eat crawfish, provided it's fully cooked",AIO,is it unsafe for you to eat crawfish while pregnant?,63,negative,Postive
1204,is it safe for you to eat fish while pregnant?,pregnancy,Binary Question,"Yes, it is generally safe to eat fish while pregnant, but with some important precautions . The Food and Drug Administration (FDA) recommends that pregnant women eat 8 to 12 ounces of low-mercury fish per week. This is equivalent to about 2-3 servings. Here's a more detailed explanation: Why it's important: Fish is a great source of omega-3 fatty acids, protein, and other essential nutrients that are beneficial for both the pregnant woman and the developing baby.","Yes, it is generally safe to eat fish while pregnant, but with some important precautions",AIO,is it safe for you to eat fish while pregnant?,64,positive,Postive
1101,can you eat fish while pregnant?,pregnancy,Binary Question,"Yes, pregnant women can generally eat fish, but with certain precautions . Benefits of Eating Fish During Pregnancy: Rich in nutrients: Fish provides essential nutrients like omega-3 fatty acids, protein, iron, and vitamin B12, which are crucial for both the mother and baby's health.","Yes, pregnant women can generally eat fish, but with certain precautions",AIO,can you eat fish while pregnant?,64,neutral,Postive
1307,is it unsafe for you to eat fish while pregnant?,pregnancy,Binary Question,"Yes, it's generally safe to eat fish while pregnant , but it's crucial to choose low-mercury options and follow recommended guidelines. Too much mercury, which is present in some fish, can be harmful to a developing fetus. What to eat: Low-mercury fish: Include salmon, shrimp, catfish, pollock, canned light tuna, and cod.","Yes, it's generally safe to eat fish while pregnant",AIO,is it unsafe for you to eat fish while pregnant?,64,negative,Neutral 
1205,is it safe for you to eat ham when pregnant?,pregnancy,Binary Question,"Yes, it is generally considered safe to eat cooked ham during pregnancy if it's prepared and handled properly to eliminate potential risks like listeria or toxoplasmosis . Here's why and what to consider: Cooking Eliminates Bacteria: Thoroughly cooking ham, including deli meats, to an internal temperature of 165°F (74°C) or until steaming hot, effectively kills harmful bacteria and parasites.","Yes, it is generally considered safe to eat cooked ham during pregnancy if it's prepared and handled properly to eliminate potential risks like listeria or toxoplasmosis",AIO,is it safe for you to eat ham when pregnant?,65,positive,Neutral 
1102,can you eat ham when pregnant?,pregnancy,Binary Question,"Yes, pregnant women can eat ham as long as it is thoroughly cooked . Ham is a processed meat that can contain bacteria, such as listeria, which can be harmful to pregnant women. However, cooking ham to an internal temperature of 160°F (71°C) kills these bacteria. Therefore, it is safe to eat ham during pregnancy as long as it is: Well-cooked (no pink or blood remaining)","Yes, pregnant women can eat ham as long as it is thoroughly cooked",AIO,can you eat ham when pregnant?,65,neutral,Neutral 
1308,is it unsafe for you to eat ham when pregnant?,pregnancy,Binary Question,"Yes, it is generally considered safe to eat cooked ham during pregnancy , says Veroni USA . The high temperature production process used to make cooked ham eliminates harmful bacteria like Listeria and Toxoplasma , which can pose risks to both mother and baby. However, raw or undercooked ham should be avoided. Elaboration: Cooked ham is safe:","Yes, it is generally considered safe to eat cooked ham during pregnancy",AIO,is it unsafe for you to eat ham when pregnant?,65,negative,Neutral 
1206,is it safe for you to eat hotdogs when pregnant?,pregnancy,Binary Question,"Yes, hot dogs can be safely eaten during pregnancy as long as they are cooked and heated until steaming hot , according to the FDA. This is because proper cooking eliminates harmful bacteria like Listeria that can cause foodborne illnesses, which are particularly dangerous during pregnancy. Why it's generally safe when cooked properly: Listeria: Hot dogs can be contaminated with Listeria, a bacteria that can cause serious infections in pregnant women and their babies.","Yes, hot dogs can be safely eaten during pregnancy as long as they are cooked and heated until steaming hot",AIO,is it safe for you to eat hotdogs when pregnant?,66,positive,Neutral 
1103,can you eat hotdogs when pregnant?,pregnancy,Binary Question,"Yes, you can eat hot dogs during pregnancy , but it's crucial to ensure they are thoroughly cooked and steaming hot to eliminate potential risks from bacteria like Listeria . Here's a more detailed explanation: Food Safety: While hot dogs are generally considered safe when fully cooked, pregnant women are at a higher risk of foodborne illnesses, so extra precautions are recommended.","Yes, you can eat hot dogs during pregnancy",AIO,can you eat hotdogs when pregnant?,66,neutral,Neutral 
1309,is it unsafe for you to eat hotdogs when pregnant?,pregnancy,Binary Question,"Yes, it's generally considered unsafe to eat hot dogs while pregnant unless they are thoroughly cooked and reheated until steaming hot . Hot dogs, like other deli meats, can be contaminated with Listeria bacteria , which can cause serious illness in pregnant women and their babies. Here's why it's important to be careful: Listeria: Listeria can grow even in refrigerated temperatures, making hot dogs a potential risk.","Yes, it's generally considered unsafe to eat hot dogs while pregnant unless they are thoroughly cooked and reheated until steaming hot",AIO,is it unsafe for you to eat hotdogs when pregnant?,66,negative,Neutral 
1207,is it safe for you to eat ice cream when pregnant?,pregnancy,Binary Question,"Yes, it's generally safe to eat ice cream while pregnant, especially if it's pasteurized . However, moderation is key, and it's important to be mindful of sugar and fat content. Avoid soft-serve ice cream, as it may pose a listeria risk if not stored properly. Here's a more detailed explanation: Pasteurization:","Yes, it's generally safe to eat ice cream while pregnant, especially if it's pasteurized",AIO,is it safe for you to eat ice cream when pregnant?,67,positive,Neutral 
1104,can you eat ice cream when pregnant?,pregnancy,Binary Question,"Yes, pregnant women can generally eat ice cream, as long as it meets the following criteria: Pasteurized: The ice cream is made with pasteurized milk and eggs to prevent the risk of foodborne illnesses like listeria. No raw eggs: Avoid ice creams containing raw eggs, such as homemade custard-style ice creams. Moderate consumption: Ice cream is high in sugar and fat, so consume it in moderation.","Yes, pregnant women can generally eat ice cream, as long as it meets the following criteria:",AIO,can you eat ice cream when pregnant?,67,neutral,Neutral 
1310,is it unsafe for you to eat ice cream when pregnant?,pregnancy,Binary Question,"Yes, it's generally safe to eat ice cream during pregnancy , but it's crucial to choose pasteurized products and practice moderation. Specifically, focus on hard-frozen ice cream and gelato, as they are less likely to harbor listeria than soft-serve ice cream. Why is this important? Listeria:","Yes, it's generally safe to eat ice cream during pregnancy",AIO,is it unsafe for you to eat ice cream when pregnant?,67,negative,Postive
1208,is it safe for you to eat imitation crab when pregnant?,pregnancy,Binary Question,"Yes, it is generally considered safe to eat imitation crab while pregnant, as long as it's cooked properly and not part of a raw dish like sushi . Imitation crab is typically made from surimi, a fish paste, and while it may not be as nutritious as real crab, it's generally safe for consumption during pregnancy. Here's why imitation crab is generally safe: Cooked and Pasteurized:","Yes, it is generally considered safe to eat imitation crab while pregnant, as long as it's cooked properly and not part of a raw dish like sushi",AIO,is it safe for you to eat imitation crab when pregnant?,68,positive,Postive
1105,can you eat imitation crab when pregnant?,pregnancy,Binary Question,"Yes, imitation crab is generally safe to eat during pregnancy . Imitation crab is made from surimi, a paste of white fish meat that is typically pollock. It is usually pre-cooked and does not contain raw fish, which is a concern for pregnant women due to the risk of foodborne illness.","Yes, imitation crab is generally safe to eat during pregnancy",AIO,can you eat imitation crab when pregnant?,68,neutral,Postive
